Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
FR1141,FR1141,FAIL,,,,
FD9CVP,FD9CVP,FAIL,,,,
FR6151,FR6151,OK,1,GOT,PRG,850
5042,5042,FAIL,,,,
W61354,W61354,FAIL,,,,
FR9276;,FR9276;,FAIL,,,,
W61540,W61540,FAIL,,,,
W65042,W65042,FAIL,,,,
ET879,ET879,FAIL,,,,
FR7855,FR7855,OK,1,MLA,BGY,1162
FR7603,FR7603,OK,1,ARN,BUD,1362
FR3278,FR3278,OK,1,TRF,GDN,731
FR7931,FR7931,OK,1,PSA,KRK,1006
WF0784,WF0784,FAIL,,,,
W61382,W61382,FAIL,,,,
SN2641,SN2641,OK,1,BRU,MUC,598
W65042,W65042,FAIL,,,,
W65041,W65041,FAIL,,,,
AC883,AC883,FAIL,,,,
BA570,BA570,FAIL,,,,
BLX371,BLX0371,OK,1,HKT,HEL,8312
AY5526,AY5526,FAIL,,,,
AY5526,AY5526,FAIL,,,,
W1276,W1276,FAIL,,,,
FR2025,FR2025,OK,1,PMO,WRO,1467
FR5892,FR5892,OK,1,KRK,EIN,1023
SK171,SK171,FAIL,,,,
DK1555,DK1555,FAIL,,,,
D84035,D84035,FAIL,,,,
LH805,LH805,FAIL,,,,
V5WU7V,V5WU7V,FAIL,,,,
KL1556,KL1556,OK,1,IBZ,AMS,1517
W61304,W61304,FAIL,,,,
FR8405,FR8405,OK,1,STN,WRO,1154
SK0105,SK0105,FAIL,,,,
W61682,W61682,FAIL,,,,
TVP7313,TVP7313,OK,1,FUE,KTW,3688
VY3006 VY1266,VY3006 VY1266,FAIL,,,,
"LH1829, LH1624","LH1829, LH1624",FAIL,,,,
TK1882,TK1882,OK,1,SKG,IST,492
W65034,W65034,FAIL,,,,
BA0781,BA0781,FAIL,,,,
TP1908,TP1908,OK,1,FAO,LIS,222
FR5173,FR5173,OK,1,BLL,STN,725
W65004,W65004,FAIL,,,,
W65033,W65033,FAIL,,,,
BA780,BA780,FAIL,,,,
W61784,W61784,FAIL,,,,
W61354,W61354,FAIL,,,,
W65034,W65034,FAIL,,,,
ET1602,ET1602,FAIL,,,,
DL143,DL143,FAIL,,,,
LX967,LX967,FAIL,,,,
TP1334,TP1334,OK,1,LIS,LGW,1543
TG0925,TG0925,FAIL,,,,
LH979,LH979,FAIL,,,,
RK135V,RK135V,FAIL,,,,
SK7472,SK7472,OK,1,LPA,HER,3900
JTD770,JTD770,FAIL,,,,
FR8251,FR8251,FAIL,,,,
W61662,W61662,FAIL,,,,
LH1692,LH1692,FAIL,,,,
W61094,W61094,FAIL,,,,
LH1396,LH1396,OK,1,FRA,PRG,406
LH842,LH842,FAIL,,,,
W65034,W65034,FAIL,,,,
AF1823,AF1823,FAIL,,,,
TP788,TP788,FAIL,,,,
W65034,W65034,FAIL,,,,
LH1689,LH1689,FAIL,,,,
KL6151,KL6151,FAIL,,,,
SK0268,SK0268,FAIL,,,,
BA778,BA778,FAIL,,,,
KL590,KL590,FAIL,,,,
LO4,LO4,FAIL,,,,
VLNUVH,VLNUVH,FAIL,,,,
AF1823,AF1823,FAIL,,,,
W61029,W61029,FAIL,,,,
FR4412,FR4412,OK,1,BVA,HEL,1880
W95126,W95126,FAIL,,,,
LBBIJF,LBBIJF,FAIL,,,,
W61608,W61608,FAIL,,,,
FR8201,FR8201,OK,1,BRI,AGP,1900
FR9881,FR9881,OK,1,WMI,VLC,2163
LH164,LH164,FAIL,,,,
LH2519 LH1624,LH2519 LH1624,FAIL,,,,
W61594,W61594,FAIL,,,,
AY1578,AY1578,OK,1,CDG,HEL,1896
FR3364,FR3364,OK,1,BGY,MAN,1212
FR1881,FR1881,OK,1,TSF,WRO,698
W61382,W61382,FAIL,,,,
SK1455,SK1455,OK,1,OSL,CPH,516
LO027,LO027,FAIL,,,,
DY140,DY140,FAIL,,,,
W61515,W61515,FAIL,,,,
FR1932,FR1932,OK,1,WMI,LBA,1490
W61382,W61382,FAIL,,,,
DY140,DY140,FAIL,,,,
